"Sensor.ID","Latitude","Longitude","Buffer","TreeCanopy_pct","GrassShrubs_pct","BareSoil_pct","Water_pct","Buildings_pct","Roads_pct","OtherImp_pct","Railroads_pct","Building_mean","Building_median","BuildingAge_mean","BuildingAge_median","BuildingLow_pct","BuildingMedium_pct","BuildingTall_pct"
"M-CH_33",40.80856,-73.9522,250,9.5156,0.4851,0,0,32.0169,31.084,26.8984,0,65.7949353967442,60.323207,1942,1910,9.30232558139535,9.30232558139535,81.3953488372093
"M-CH_34",40.80707,-73.9495,250,15.9122,2.8328,0,0,35.8296,24.8849,20.5405,0,54.6953986685714,54.56,1903,1910,1.58730158730159,1.58730158730159,96.8253968253968
"M-CH_35",40.80166,-73.9498,250,13.3681,2.4155,0,0,30.1576,29.2564,24.8024,0,63.6076139291304,55.15,1933,1920,34.7826086956522,8.69565217391304,56.5217391304348
"M-EH_01",40.78811527,-73.94848207,250,16.4399,1.4673,0,0,38.0132,16.5539,27.5257,0,62.6321503405556,60.07077969,1927,1910,9.25925925925926,1.85185185185185,88.8888888888889
"M-EH_02",40.79033369,-73.9437275,250,21.3318,1.0979,0,0,43.5504,14.2521,19.7678,0,54.1367815288095,53.95189623,1931,1920,9.52380952380952,19.047619047619,71.4285714285714
"M-EH_03",40.79215022,-73.95193172,250,17.0058,0.8852,0,0,39.1645,12.7036,30.2409,0,110.104894456,100.36,1939,1927,50,10,40
"M-EH_04",40.79013187,-73.94520116,250,21.1126,8.8374,0,0,27.3226,23.6302,19.0972,0,49.9352595288235,46.23519556,1930,1920,11.7647058823529,38.2352941176471,50
"M-EH_05",40.79448998,-73.94938095,250,21.1934,1.2034,0,0,41.7771,12.8029,23.0232,0,107.138181818182,71.54,1938,1920,27.2727272727273,9.09090909090909,63.6363636363636
"M-EH_06",40.79253711,-73.946749,250,13.5728,1.4751,0,0,39.4145,20.53,24.7266,0.281,56.8316105643182,50.8,1916,1910,6.81818181818182,2.27272727272727,90.9090909090909
"M-EH_07",40.78964784,-73.94794698,250,13.4302,1.2072,0,0,43.1215,16.3057,25.9354,0,58.0979231466667,61.89759838,1916,1910,3.7037037037037,16.6666666666667,79.6296296296296
"M-EH_08",40.79539776,-73.94792433,250,23.4649,1.3539,0,0,29.5407,20.0041,25.6364,0,72.38,68.16,1938,1920,4.34782608695652,0,95.6521739130435
"M-EH_09",40.79145039,-73.94637861,250,17.3127,1.8849,0,0,32.7231,16.2169,31.8624,0,53.1196069248148,50.98547697,1915,1910,1.85185185185185,3.7037037037037,94.4444444444444
"M-EH_10",40.79305019,-73.94208096,250,13.948,0.6302,0,0,35.1994,11.8988,38.3236,0,37.4820833333333,36.49,1956,1980.5,4.16666666666667,45.8333333333333,50
"M-EH_12",40.79175908,-73.94538685,250,13.3421,2.117,0,0,35.5761,21.5437,27.4211,0,52.0813931578571,51.615,1915,1910,3.57142857142857,3.57142857142857,92.8571428571429
"M-EH_13",40.79397132,-73.95015387,250,20.6036,1.2921,0,0,45.0264,17.7729,15.305,0,135.0475,147.235,1938,1921,50,12.5,37.5
"M-EH_14",40.793111,-73.944431,250,12.1382,4.0607,0,0,33.4297,17.3962,32.9752,0,51.1261111111111,50.775,1916,1910,4.16666666666667,5.55555555555556,90.2777777777778
"M-EH_15",40.789267,-73.949254,250,22.1895,2.9674,0,0,39.7422,12.5925,21.2991,1.2093,52.366528016129,54.08947331,1907,1910,3.2258064516129,30.6451612903226,66.1290322580645
"M-EH_16",40.78885267,-73.94242494,250,20.9842,2.28,0,0,45.036,7.9811,23.7187,0,52.2785378969811,49.07,1922,1910,5.66037735849057,5.66037735849057,88.6792452830189
"M-EH_17",40.791828,-73.945538,250,14.1592,2.0765,0,0,35.8053,19.8942,28.0648,0,52.4363869891667,51.39,1914,1910,1.66666666666667,3.33333333333333,95
"M-EH_18",40.79232036,-73.94450968,250,14.6154,2.9289,0,0,38.3827,22.4279,21.6451,0,59.5438596491228,51.97,1917,1910,5.26315789473684,3.50877192982456,91.2280701754386
"M-EH_19",40.79038641,-73.94164677,250,29.4403,3.5668,0,0,27.5757,18.3118,21.1054,0,64.879696969697,55.84,1930,1920,27.2727272727273,6.06060606060606,66.6666666666667
"M-EH_20",40.79361203,-73.94171863,250,12.8304,1.8061,0,0,40.743,9.7157,34.9048,0,44.9361517607547,44.14,1937,1910,3.77358490566038,28.3018867924528,67.9245283018868
"M-EH_22",40.79476675,-73.95065556,250,44.5649,5.8414,0.4958,8.8326,20.0853,7.4316,12.7484,0,123.083769548571,127,1943,1923,57.1428571428571,14.2857142857143,28.5714285714286
"M-EH_23",40.79068156,-73.95175509,250,26.9577,1.4867,0,0,34.0896,19.3106,18.1554,0,176.62962018375,134.24743168,1964,1958.5,37.5,25,37.5
"M-EH_24",40.795718,-73.943678,250,11.6655,2.0266,0,0,35.8768,18.5452,31.8859,0,52.6701568255263,52.115,1935,1910,18.4210526315789,2.63157894736842,78.9473684210526
"M-EH_25",40.792209,-73.94116,250,19.1585,1.051,0,0,35.1358,23.3344,21.3203,0,64.36958613,55.39,1924,1915,9.67741935483871,6.45161290322581,83.8709677419355
"M-EH_26",40.78856549,-73.94886635,250,13.7863,2.0647,0,0,40.3699,17.7419,26.0372,0,60.3069137571429,61.48319718,1923,1910,7.14285714285714,11.9047619047619,80.952380952381
"M-EH_27",40.79313116,-73.94815082,250,25.1786,3.105,0,0,19.7132,18.9502,20.0408,13.0122,80.25,57.645,1937,1938,25,12.5,62.5
"M-EH_28",40.791583,-73.944447,250,12.5812,1.6678,0,0,39.9936,26.7507,19.0067,0,61.7019297378947,55.935,1922,1910,13.1578947368421,13.1578947368421,73.6842105263158
"M-EH_29",40.79451677,-73.94266988,250,15.7844,2.0147,0,0,41.5319,22.882,17.787,0,43.5813028001724,44.855,1920,1910,10.3448275862069,8.62068965517241,81.0344827586207
"M-EH_30",40.7942336,-73.93992758,250,16.1505,3.1877,0,0,33.4171,25.2118,22.0329,0,55.5287112731034,47.6,1932,1910,12.0689655172414,12.0689655172414,75.8620689655172
"M-EH_31",40.789591,-73.943059,250,19.0659,0.8757,0,0,37.3163,21.6497,21.0924,0,56.0161469611111,50.18,1919,1910,3.7037037037037,1.85185185185185,94.4444444444444
"M-EH_33",40.78955115,-73.9462964,250,21.2317,9.5692,0,0,28.4239,23.2642,17.511,0,54.7070842445161,55.12616725,1922,1910,25.8064516129032,12.9032258064516,61.2903225806452
"M-EH_34",40.793019,-73.945806,250,12.0137,4.026,0,0,31.8131,18.013,34.1342,0,52.9168333333333,50.865,1916,1910,3.33333333333333,0,96.6666666666667
"M-EH_35",40.78817104,-73.94408406,250,18.6654,5.2523,0,0,28.6867,21.5169,25.8787,0,67.6721455610526,56.50093348,1945,1923,26.3157894736842,5.26315789473684,68.421052631579
"Q-CH_01",40.70608284,-73.74370211,250,29.8619,11.8044,0,0,18.1153,15.6378,24.5806,0,22.2802805340426,26.535,1922,1920,34.0425531914894,61.7021276595745,4.25531914893617
"Q-CH_02",40.70323077,-73.73708463,250,21.0411,13.0365,0,0,31.0324,14.021,20.869,0,16.1582329390441,18.015,1940,1940,63.2352941176471,27.2058823529412,9.55882352941176
"Q-CH_03",40.70198422,-73.74015389,250,18.0958,13.7932,0,0,22.5417,15.0403,30.529,0,21.0420365817526,24.34,1944,1940,32.9896907216495,58.7628865979381,8.24742268041237
"Q-CH_04",40.70117592,-73.73744971,250,15.3838,20.2381,0,0,20.0215,15.4558,28.9008,0,17.5533133130952,19.87868883,1942,1950,38.0952380952381,47.6190476190476,14.2857142857143
"Q-CH_06",40.70559181,-73.7386539,250,30.384,23.8076,0,0,14.1485,9.2791,22.3808,0,22.5400381791837,24.03,1965,1950,26.530612244898,73.469387755102,0
"Q-CH_07",40.70093724,-73.74212532,250,15.2594,12.4109,0,0,17.8062,26.8322,27.6913,0,21.0540729894253,23.61,1935,1935,22.9885057471264,66.6666666666667,10.3448275862069
"Q-CH_08",40.70416796,-73.7396405,250,7.6434,9.6329,0,0,31.4522,22.8784,28.3931,0,18.847740515,18.175,1939,1940,39.4736842105263,47.3684210526316,13.1578947368421
"Q-CH_09",40.70325333,-73.7353952,250,19.9236,22.2844,0,0,19.239,8.6923,29.8607,0,17.7700732829897,18.55,1935,1935,31.9587628865979,49.4845360824742,18.5567010309278
"Q-CH_10",40.701138,-73.740872,250,9.2705,12.3413,0,0,19.3184,31.2964,27.7734,0,22.5773069351163,24.085,1942,1940,18.6046511627907,77.906976744186,3.48837209302326
"Q-CH_11",40.70188054,-73.73678206,250,17.156,18.0869,0,0,23.126,10.5622,31.0689,0,19.0931964630275,17.68,1932,1925,39.4495412844037,49.5412844036697,11.0091743119266
"Q-CH_12",40.70239284,-73.74283427,250,14.8361,10.7064,0,0,22.5051,22.9356,29.0168,0,20.2485104865686,22.45,1932,1930,32.3529411764706,55.8823529411765,11.7647058823529
"Q-CH_13",40.70048818,-73.74431565,250,11.3758,17.1279,0,0,24.1343,15.127,32.235,0,23.3530032447872,29.68995745,1924,1925,37.2340425531915,61.7021276595745,1.06382978723404
"Q-CH_14",40.70475869,-73.73872374,250,15.7822,22.7104,0,0,19.1234,16.5034,25.8806,0,21.4226415163636,23.42,1949,1940,40.9090909090909,59.0909090909091,0
"Q-CH_15",40.70689698,-73.74008317,250,17.3119,7.7849,0,0,21.2647,15.1099,38.5286,0,21.4970529674737,27.68,1925,1920,35.7894736842105,56.8421052631579,7.36842105263158
"Q-CH_16",40.70400162,-73.74101414,250,16.3339,8.471,0,0,23.5279,21.7707,29.8965,0,20.8597891411538,22.2,1931,1930,43.5897435897436,52.5641025641026,3.84615384615385
"Q-CH_17",40.70457674,-73.73619579,250,20.1959,21.04,0,0,16.8088,14.6909,27.2644,0,18.7847388450633,21.97,1947,1950,37.9746835443038,62.0253164556962,0
"Q-CH_19",40.70295,-73.736292,250,22.068,16.5882,0,0,25.0241,12.2294,24.0903,0,17.9723223729204,19.48,1937,1935,40.7079646017699,45.1327433628319,14.1592920353982
"Q-CH_20",40.70239672,-73.74404344,250,12.7746,10.813,0,0,21.7502,24.2736,30.3886,0,21.9959324101087,28.6,1927,1930,42.3913043478261,56.5217391304348,1.08695652173913
"Q-CH_21",40.70381935,-73.74527363,250,15.0758,13.2462,0,0,21.3708,19.7559,30.5513,0,23.1822525189247,28.95,1927,1930,31.1827956989247,63.4408602150538,5.3763440860215
"Q-CH_22",40.70061715,-73.74036166,250,15.7661,14.0468,0,0,20.5787,23.3558,26.2526,0,20.8300176506977,23.555,1940,1940,37.2093023255814,61.6279069767442,1.16279069767442
"Q-CH_23",40.70525325,-73.74194888,250,23.4915,11.4079,0,0,21.0067,13.5017,30.5922,0,22.41767597,28.7,1928,1930,40.18691589,58.87850467,0.934579439
"Q-CH_24",40.70538442,-73.74414496,250,22.2955,12.8718,0,0,19.59,18.4254,26.8173,0,22.99386503,28.205,1924,1925,32.60869565,61.95652174,5.434782609
"Q-CH_25",40.70233319,-73.73815266,250,14.7952,14.3531,0,0,23.9883,16.0383,30.8251,0,19.37852587,21.41,1935,1935,31.3559322,52.54237288,16.10169492
"Q-CH_26",40.700054,-73.738645,250,8.7787,27.1419,0,0,17.8015,17.2834,28.9945,0,17.59943841,12.90518988,1945,1950,48.38709677,48.38709677,3.225806452
"Q-CH_27",40.70307792,-73.74170923,250,17.783,16.6523,0,0,24.5117,12.1054,28.9476,0,20.61810424,22.2,1938,1930,39.80582524,52.42718447,7.766990291
